row_id,player_id,player_name,club,season,matched,match_type,name_score,club_score,fbref_player_name,fbref_club
206,33544,Antonio Valencia,Manchester United,2018,True,exact,100,90,Antonio Valencia,Manchester Utd
207,33639,Kevin Mirallas,Everton FC,2017,True,exact,100,82,Kevin Mirallas,Everton
208,33639,Kevin Mirallas,ACF Fiorentina,2018,True,exact,100,83,Kevin Mirallas,Fiorentina
209,33706,Nani,SS Lazio,2017,True,exact,100,76,Nani,Lazio
210,33713,Theo Walcott,Everton FC,2017,True,exact,100,82,Theo Walcott,Everton
211,33713,Theo Walcott,Everton FC,2018,True,exact,100,82,Theo Walcott,Everton
212,33713,Theo Walcott,Everton FC,2019,True,exact,100,82,Theo Walcott,Everton
213,33713,Theo Walcott,Southampton FC,2020,True,exact,100,88,Theo Walcott,Southampton
214,33866,Steven Defour,Burnley FC,2017,True,exact,100,82,Steven Defour,Burnley
215,33866,Steven Defour,Burnley FC,2018,True,exact,100,82,Steven Defour,Burnley
216,33873,Asmir Begovic,AFC Bournemouth,2017,True,exact,100,84,Asmir Begović,Bournemouth
217,33873,Asmir Begovic,AFC Bournemouth,2018,True,exact,100,84,Asmir Begović,Bournemouth
218,33923,Blaise Matuidi,Paris Saint-Germain,2017,True,exact,100,22,Blaise Matuidi,Juventus
219,33923,Blaise Matuidi,Juventus FC,2018,True,exact,100,84,Blaise Matuidi,Juventus
220,33923,Blaise Matuidi,Juventus FC,2019,True,exact,100,84,Blaise Matuidi,Juventus
221,34322,Sokratis Papastathopoulos,Borussia Dortmund,2017,True,exact,100,64,Sokratis Papastathopoulos,Dortmund
222,34322,Sokratis Papastathopoulos,Arsenal FC,2018,True,exact,100,82,Sokratis Papastathopoulos,Arsenal
223,34322,Sokratis Papastathopoulos,Arsenal FC,2019,True,exact,100,82,Sokratis Papastathopoulos,Arsenal
224,34572,Mario Mandžukić,Juventus FC,2017,True,exact,100,84,Mario Mandžukić,Juventus
225,34572,Mario Mandžukić,Juventus FC,2018,True,exact,100,84,Mario Mandžukić,Juventus
226,34601,Raúl García,Athletic Bilbao,2017,True,exact,100,78,Raúl García,Athletic Club
227,34601,Raúl García,Athletic Bilbao,2018,True,exact,100,78,Raúl García,Athletic Club
228,34601,Raúl García,Athletic Bilbao,2019,True,exact,100,78,Raúl García,Athletic Club
229,34944,Konstantinos Mitroglou,Olympique Marseille,2017,False,none,0,0,,
230,34944,Konstantinos Mitroglou,Olympique Marseille,2018,False,none,0,0,,
231,35047,Axel Witsel,Borussia Dortmund,2018,True,exact,100,64,Axel Witsel,Dortmund
232,35047,Axel Witsel,Borussia Dortmund,2019,True,exact,100,64,Axel Witsel,Dortmund
233,35047,Axel Witsel,Borussia Dortmund,2020,True,exact,100,64,Axel Witsel,Dortmund
234,35047,Axel Witsel,Atlético de Madrid,2022,True,exact,100,90,Axel Witsel,Atlético Madrid
235,35207,Marco Reus,Borussia Dortmund,2017,True,exact,100,64,Marco Reus,Dortmund
236,35207,Marco Reus,Borussia Dortmund,2018,True,exact,100,64,Marco Reus,Dortmund
237,35207,Marco Reus,Borussia Dortmund,2019,True,exact,100,64,Marco Reus,Dortmund
238,35207,Marco Reus,Borussia Dortmund,2020,True,exact,100,64,Marco Reus,Dortmund
239,35207,Marco Reus,Borussia Dortmund,2021,True,exact,100,64,Marco Reus,Dortmund
240,35207,Marco Reus,Borussia Dortmund,2022,True,exact,100,64,Marco Reus,Dortmund
241,35207,Marco Reus,Borussia Dortmund,2023,True,exact,100,64,Marco Reus,Dortmund
242,35208,Marcel Schmelzer,Borussia Dortmund,2017,True,exact,100,64,Marcel Schmelzer,Dortmund
243,35249,Stefano Okaka,Watford FC,2017,True,exact,100,82,Stefano Okaka,Watford
244,35249,Stefano Okaka,Udinese Calcio,2018,True,exact,100,66,Stefano Okaka,Udinese
245,35518,David Silva,Manchester City,2017,True,exact,100,100,David Silva,Manchester City
246,35518,David Silva,Manchester City,2018,True,exact,100,100,David Silva,Manchester City
247,35518,David Silva,Real Sociedad,2019,True,exact,100,21,David Silva,Manchester City
248,35518,David Silva,Real Sociedad,2020,True,exact,100,100,David Silva,Real Sociedad
249,35564,Fernando Llorente,Tottenham Hotspur,2017,True,exact,100,69,Fernando Llorente,Tottenham
250,35664,Mesut Özil,Arsenal FC,2017,True,exact,100,82,Mesut Özil,Arsenal
251,35664,Mesut Özil,Arsenal FC,2018,True,exact,100,82,Mesut Özil,Arsenal
252,35664,Mesut Özil,Arsenal FC,2019,True,exact,100,82,Mesut Özil,Arsenal
253,35773,Carlos Vela,Real Sociedad,2017,True,exact,100,100,Carlos Vela,Real Sociedad
254,35865,Andrea Consigli,US Sassuolo,2017,True,exact,100,84,Andrea Consigli,Sassuolo
255,35939,Ezequiel Garay,Valencia CF,2017,True,exact,100,84,Ezequiel Garay,Valencia
256,35939,Ezequiel Garay,Valencia CF,2018,True,exact,100,84,Ezequiel Garay,Valencia
257,36139,Dušan Tadić,Southampton FC,2017,True,exact,100,88,Dušan Tadić,Southampton
258,36182,Max Kruse,SV Werder Bremen,2017,True,exact,100,89,Max Kruse,Werder Bremen
259,36182,Max Kruse,SV Werder Bremen,2018,True,exact,100,89,Max Kruse,Werder Bremen
260,36182,Max Kruse,1.FC Union Berlin,2020,True,exact,100,82,Max Kruse,Union Berlin
261,36371,Nikola Kalinić,ACF Fiorentina,2017,True,exact,100,21,Nikola Kalinić,Milan
262,36371,Nikola Kalinić,Atlético de Madrid,2018,True,exact,100,90,Nikola Kalinić,Atlético Madrid
263,36371,Nikola Kalinić,AS Roma,2019,True,exact,100,72,Nikola Kalinić,Roma
264,37304,Shane Long,Southampton FC,2017,True,exact,100,88,Shane Long,Southampton
265,37304,Shane Long,Southampton FC,2018,True,exact,100,88,Shane Long,Southampton
266,37418,Éder,Inter Milan,2017,True,exact,100,62,Éder,Inter
267,37442,Danny Simpson,Leicester City,2017,True,exact,100,100,Danny Simpson,Leicester City
268,37526,Winston Reid,West Ham United,2017,True,exact,100,69,Winston Reid,West Ham
269,37526,Winston Reid,West Ham United,2018,False,none,0,0,,
270,37647,Dimitri Payet,Olympique Marseille,2017,True,exact,100,64,Dimitri Payet,Marseille
271,37647,Dimitri Payet,Olympique Marseille,2018,True,exact,100,64,Dimitri Payet,Marseille
272,37647,Dimitri Payet,Olympique Marseille,2019,True,exact,100,64,Dimitri Payet,Marseille
273,37647,Dimitri Payet,Olympique Marseille,2020,True,exact,100,64,Dimitri Payet,Marseille
274,37647,Dimitri Payet,Olympique Marseille,2021,True,exact,100,64,Dimitri Payet,Marseille
275,37666,Arturo Vidal,Bayern Munich,2017,True,exact,100,100,Arturo Vidal,Bayern Munich
276,37666,Arturo Vidal,FC Barcelona,2018,True,exact,100,85,Arturo Vidal,Barcelona
