row_id,player_id,player_name,club,season,matched,match_type,name_score,club_score,fbref_player_name,fbref_club
6451,342046,Axel Tuanzebe,Manchester United,2018,False,none,0,0,,
6502,344015,Ben Woodburn,Liverpool FC,2018,False,none,0,0,,
6535,344600,Michaël Cuisance,Borussia Mönchengladbach,2017,False,none,0,0,,
6536,344600,Michaël Cuisance,Borussia Mönchengladbach,2018,False,none,0,0,,
6538,344600,Michaël Cuisance,Olympique Marseille,2020,False,none,0,0,,
6630,347900,Jerdy Schouten,Bologna FC 1909,2023,False,none,0,0,,
6631,347913,Luan Peres,Olympique Marseille,2021,False,none,0,0,,
6659,349066,Alexander Isak,Borussia Dortmund,2018,False,none,0,0,,
6682,350219,Fabián Ruiz,Paris Saint-Germain,2022,False,none,0,0,,
6683,350219,Fabián Ruiz,Paris Saint-Germain,2023,False,none,0,0,,
6684,350219,Fabián Ruiz,Paris Saint-Germain,2024,False,none,0,0,,
6714,352041,Lucas Perri,Olympique Lyon,2023,False,none,0,0,,
6753,354361,Frank Anguissa,Olympique Marseille,2017,False,none,0,0,,
6754,354361,Frank Anguissa,Fulham FC,2018,False,none,0,0,,
6755,354361,Frank Anguissa,Villarreal CF,2019,False,none,0,0,,
6756,354361,Frank Anguissa,Fulham FC,2020,False,none,0,0,,
6757,354361,Frank Anguissa,SSC Napoli,2021,False,none,0,0,,
6758,354361,Frank Anguissa,SSC Napoli,2022,False,none,0,0,,
6759,354361,Frank Anguissa,SSC Napoli,2023,False,none,0,0,,
6760,354361,Frank Anguissa,SSC Napoli,2024,False,none,0,0,,
6769,354482,Amir Murillo,Olympique Marseille,2024,False,none,0,0,,
6778,355369,Jordan,Stade Rennais FC,2018,False,none,0,0,,
6779,355369,Jordan,1.FC Union Berlin,2022,False,none,0,0,,
6958,361260,Ozan Kabak,TSG 1899 Hoffenheim,2024,False,none,0,0,,
6964,362086,Isi Palazón,Rayo Vallecano,2022,False,none,0,0,,
6965,362086,Isi Palazón,Rayo Vallecano,2023,False,none,0,0,,
6973,362842,Arthur Melo,Liverpool FC,2022,False,none,0,0,,
6988,364133,Pietro Pellegri,AS Monaco,2019,False,none,0,0,,
7006,364603,José Manuel Arnáiz,FC Barcelona,2017,False,none,0,0,,
7082,371141,Stanley Nsoki,Paris Saint-Germain,2018,False,none,0,0,,
7089,371149,Evan Ndicka,Eintracht Frankfurt,2018,False,none,0,0,,
7090,371149,Evan Ndicka,Eintracht Frankfurt,2019,False,none,0,0,,
7091,371149,Evan Ndicka,Eintracht Frankfurt,2020,False,none,0,0,,
7092,371149,Evan Ndicka,Eintracht Frankfurt,2021,False,none,0,0,,
7093,371149,Evan Ndicka,Eintracht Frankfurt,2022,False,none,0,0,,
7094,371149,Evan Ndicka,AS Roma,2023,False,none,0,0,,
7095,371149,Evan Ndicka,AS Roma,2024,False,none,0,0,,
7106,371814,Nat Phillips,Liverpool FC,2020,False,none,0,0,,
7107,371814,Nat Phillips,Liverpool FC,2021,False,none,0,0,,
7163,375382,André Almeida,Valencia CF,2022,False,none,0,0,,
