league,season,team,player,nation,pos,age,born,keeper_playing_time_mp,keeper_playing_time_starts,keeper_playing_time_min,keeper_90s,keeper_performance_ga,keeper_performance_ga90,keeper_performance_sota,keeper_performance_saves,keeper_performance_savepct,keeper_performance_w,keeper_performance_d,keeper_performance_l,keeper_performance_cs,keeper_performance_cspct,keeper_penalty_kicks_pkatt,keeper_penalty_kicks_pka,keeper_penalty_kicks_pksv,keeper_penalty_kicks_pkm,keeper_penalty_kicks_savepct,fbref_season_label,fbref_stat_type
FRA-Ligue 1,2018,Marseille,Steve Mandanda,FRA,GK,33,1985,31,31,2736,30.4,40,1.32,107,73,62.6,14,5,12,9,29.0,7,6,1,0,14.3,2018-2019,keeper
FRA-Ligue 1,2018,Marseille,Yohann Pelé,FRA,GK,35,1982,9,7,680,7.6,12,1.59,24,12,50.0,4,2,1,3,42.9,5,4,1,0,20.0,2018-2019,keeper
FRA-Ligue 1,2018,Monaco,Danijel Subašić,CRO,GK,33,1984,14,14,1138,12.6,12,0.95,38,26,68.4,4,5,5,4,28.6,3,2,1,0,33.3,2018-2019,keeper
FRA-Ligue 1,2018,Monaco,Diego Benaglio,SUI,GK,34,1983,23,22,2057,22.9,38,1.66,97,59,60.8,4,6,12,4,18.2,5,3,2,0,40.0,2018-2019,keeper
FRA-Ligue 1,2018,Monaco,Seydou Sy,SEN,GK,22,1995,3,2,225,2.5,7,2.8,13,6,46.2,0,1,1,0,0.0,0,0,0,0,,2018-2019,keeper
FRA-Ligue 1,2018,Montpellier,Benjamin Lecomte,FRA,GK,27,1991,37,37,3330,37.0,42,1.14,147,105,71.4,15,13,9,11,29.7,5,3,1,1,25.0,2018-2019,keeper
FRA-Ligue 1,2018,Montpellier,Dimitry Bertaud,COD,GK,20,1998,1,1,90,1.0,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,2018-2019,keeper
FRA-Ligue 1,2018,Nantes,Alexandre Olliero,FRA,GK,22,1996,1,1,90,1.0,1,1.0,1,0,0.0,0,0,1,0,0.0,1,1,0,0,0.0,2018-2019,keeper
FRA-Ligue 1,2018,Nantes,Ciprian Tătărușanu,ROU,GK,32,1986,27,27,2391,26.6,30,1.13,92,62,67.4,8,6,13,7,25.9,4,1,3,0,75.0,2018-2019,keeper
FRA-Ligue 1,2018,Nantes,Maxime Dupé,FRA,GK,25,1993,11,10,939,10.4,17,1.63,34,17,50.0,5,3,2,1,10.0,3,2,1,0,33.3,2018-2019,keeper
FRA-Ligue 1,2018,Nice,Walter Benítez,ARG,GK,25,1993,35,35,3150,35.0,29,0.83,141,112,79.4,15,10,10,16,45.7,5,2,3,0,60.0,2018-2019,keeper
FRA-Ligue 1,2018,Nice,Yoan Cardinale,FRA,GK,24,1994,3,3,270,3.0,6,2.0,12,6,50.0,0,1,2,0,0.0,1,1,0,0,0.0,2018-2019,keeper
FRA-Ligue 1,2018,Nîmes,Paul Bernardoni,FRA,GK,21,1997,38,38,3420,38.0,58,1.53,181,123,68.0,15,8,15,10,26.3,5,4,1,0,20.0,2018-2019,keeper
FRA-Ligue 1,2018,PSG,Alphonse Areola,FRA,GK,25,1993,21,21,1890,21.0,17,0.81,67,50,74.6,16,3,2,11,52.4,4,4,0,0,0.0,2018-2019,keeper
FRA-Ligue 1,2018,PSG,Gianluigi Buffon,ITA,GK,40,1978,17,17,1530,17.0,18,1.06,67,49,73.1,13,1,3,6,35.3,2,1,1,0,50.0,2018-2019,keeper
FRA-Ligue 1,2018,Reims,Édouard Mendy,SEN,GK,26,1992,38,38,3420,38.0,42,1.11,152,110,72.4,13,16,9,14,36.8,7,7,0,0,0.0,2018-2019,keeper
FRA-Ligue 1,2018,Rennes,Abdoulaye Diallo,SEN,GK,26,1992,6,6,495,5.5,4,0.73,19,15,78.9,3,2,1,2,33.3,1,1,0,0,0.0,2018-2019,keeper
FRA-Ligue 1,2018,Rennes,Tomáš Koubek,CZE,GK,25,1992,33,32,2925,32.5,48,1.48,138,90,65.2,10,11,11,9,28.1,4,3,1,0,25.0,2018-2019,keeper
FRA-Ligue 1,2018,Saint-Étienne,Jessy Moulin,FRA,GK,32,1986,1,1,90,1.0,1,1.0,6,5,83.3,0,1,0,0,0.0,0,0,0,0,,2018-2019,keeper
FRA-Ligue 1,2018,Saint-Étienne,Stéphane Ruffier,FRA,GK,31,1986,37,37,3330,37.0,40,1.08,149,109,73.2,19,8,10,13,35.1,9,7,1,1,12.5,2018-2019,keeper
FRA-Ligue 1,2018,Strasbourg,Eiji Kawashima,JPN,GK,35,1983,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,2018-2019,keeper
FRA-Ligue 1,2018,Strasbourg,Matz Sels,BEL,GK,26,1992,37,37,3330,37.0,48,1.3,149,101,67.8,10,16,11,8,21.6,9,7,2,0,22.2,2018-2019,keeper
FRA-Ligue 1,2018,Toulouse,Baptiste Reynet,FRA,GK,27,1990,31,31,2704,30.0,45,1.5,140,99,67.9,6,11,14,6,19.4,5,4,1,0,20.0,2018-2019,keeper
FRA-Ligue 1,2018,Toulouse,Mauro Goicoechea,URU,GK,30,1988,8,7,712,7.9,12,1.52,34,22,64.7,2,3,2,3,42.9,1,1,0,0,0.0,2018-2019,keeper
ITA-Serie A,2018,Atalanta,Etrit Berisha,ALB,GK,29,1989,18,18,1620,18.0,25,1.39,67,42,62.7,9,3,6,5,27.8,2,1,0,1,0.0,2018-2019,keeper
ITA-Serie A,2018,Atalanta,Francesco Rossi,ITA,GK,27,1991,1,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,,2018-2019,keeper
ITA-Serie A,2018,Atalanta,Pierluigi Gollini,ITA,GK,23,1995,20,20,1800,20.0,21,1.05,70,49,70.0,11,6,3,4,20.0,3,3,0,0,0.0,2018-2019,keeper
ITA-Serie A,2018,Bologna,Łukasz Skorupski,POL,GK,27,1991,38,38,3420,38.0,56,1.47,176,120,68.2,11,11,16,10,26.3,4,4,0,0,0.0,2018-2019,keeper
ITA-Serie A,2018,Cagliari,Alessio Cragno,ITA,GK,24,1994,38,38,3420,38.0,54,1.42,207,153,73.9,10,11,17,7,18.4,10,8,2,0,20.0,2018-2019,keeper
ITA-Serie A,2018,Chievo,Adrian Šemper,CRO,GK,20,1998,6,6,540,6.0,8,1.33,34,26,76.5,1,3,2,2,33.3,0,0,0,0,,2018-2019,keeper
ITA-Serie A,2018,Chievo,Andrea Seculin,ITA,GK,28,1990,2,1,90,1.0,6,6.0,11,5,45.5,0,0,1,0,0.0,0,0,0,0,,2018-2019,keeper
ITA-Serie A,2018,Chievo,Stefano Sorrentino,ITA,GK,39,1979,31,31,2790,31.0,61,1.97,166,108,63.3,1,11,19,5,16.1,4,2,2,0,50.0,2018-2019,keeper
ITA-Serie A,2018,Empoli,Bartłomiej Drągowski,POL,GK,20,1997,14,14,1260,14.0,24,1.71,95,71,74.7,5,2,7,3,21.4,4,3,1,0,25.0,2018-2019,keeper
