model,scenario,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,recall_tinggi,params
xgboost,class_weight_balanced,validation,0.697151424287856,0.7031654034081627,0.69462945672096,0.6972170481649899,0.6966039286408513,0.6619047619047619,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 5, 'reg_lambda': 5}"
random_forest,hybrid_sampling_light,validation,0.6934032983508246,0.6981040457103497,0.706360445412733,0.697071067389278,0.6908444710461262,0.7047619047619048,"{'n_estimators': 300, 'max_depth': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,no_sampling,validation,0.7061469265367316,0.7339492963945199,0.6784996714735277,0.6970298647332934,0.7046171407124113,0.5571428571428572,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 5}"
random_forest,hybrid_sampling_light,validation,0.691904047976012,0.6945530746120157,0.7105102534841098,0.6968699622965655,0.6890035202978518,0.7285714285714285,"{'n_estimators': 300, 'max_depth': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,class_weight_balanced,validation,0.6956521739130435,0.6983476254952109,0.7028685548293391,0.6968366196408438,0.6936126046373728,0.6857142857142857,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 5}"
xgboost,no_sampling,validation,0.7023988005997002,0.728101684385592,0.6786898710101325,0.6967339894640195,0.7016631293027897,0.580952380952381,"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 5, 'reg_lambda': 3}"
random_forest,hybrid_sampling_light,validation,0.691904047976012,0.6978895024694101,0.7044022547290522,0.6966569773723862,0.6897289040880713,0.7047619047619048,"{'n_estimators': 500, 'max_depth': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,no_sampling,validation,0.7061469265367316,0.7300433647779353,0.6784573088494655,0.6965615534991376,0.704771997834582,0.5619047619047619,"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 5}"
xgboost,no_sampling,validation,0.7038980509745127,0.7311864912767033,0.6783587509077705,0.6964817921046548,0.7027055126206185,0.5666666666666667,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 5}"
random_forest,class_weight_balanced,validation,0.6926536731634183,0.6979388409747709,0.7016556005118098,0.696344979964798,0.6910869280079013,0.6952380952380952,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
random_forest,no_sampling,validation,0.7008995502248876,0.7307456411982681,0.6784469343292873,0.6962971611522214,0.7000096417700483,0.5761904761904761,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,class_weight_balanced,validation,0.6964017991004497,0.6976873581720412,0.7001219006120968,0.6962224568383047,0.6948465238366704,0.6761904761904762,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 5}"
random_forest,no_sampling,validation,0.7016491754122939,0.7311060617526751,0.678446069785939,0.69610631342024,0.7005548686243612,0.5714285714285714,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,hybrid_sampling_light,validation,0.6956521739130435,0.7032207850091757,0.6955017809592973,0.6960790866054024,0.6941364906519172,0.6571428571428571,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 5}"
xgboost,hybrid_sampling_light,validation,0.691904047976012,0.693293067824055,0.709623232008853,0.6960586526194715,0.6888450936704649,0.7238095238095238,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 3}"
random_forest,hybrid_sampling_light,validation,0.6926536731634183,0.6978158657225414,0.7031426150707197,0.6960273578880373,0.6903676875791339,0.6952380952380952,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None}"
random_forest,no_sampling,validation,0.7023988005997002,0.7287876108037196,0.6793322267178477,0.6959427485168307,0.7011397906300734,0.5714285714285714,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,no_sampling,validation,0.7038980509745127,0.7309908851550748,0.6785869903516962,0.6959269480195487,0.7023612286019595,0.5619047619047619,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 5}"
random_forest,no_sampling,validation,0.7016491754122939,0.7270625568750405,0.6791472144413321,0.6957178901103142,0.7005855208139414,0.5761904761904761,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': None}"
random_forest,no_sampling,validation,0.7016491754122939,0.7270844282497552,0.6787754608016044,0.6956582799129688,0.7006423285401515,0.5761904761904761,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': None}"
random_forest,class_weight_balanced,validation,0.6911544227886057,0.6912027636314105,0.7101393643877304,0.6956026642861116,0.6885858817127974,0.7333333333333333,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 2, 'max_features': 'log2', 'class_weight': 'balanced'}"
