age,age_peak_distance,is_peak_age,height_m,preferred_foot,pos_category,is_goalkeeper,is_defender,is_midfielder,is_forward,league,league_rank,club_total_mv_mio,club_total_mv_rank_league_season,club_total_mv_pct_league_season,club_mv_relative_to_league_avg,prev_season_mv,two_seasons_ago_mv,has_prev_mv,mv_history_count,prev_growth_rate_clipped,prev_season_mv_log,prev_mv_category,two_seasons_ago_mv_category,prev_mv_to_club_total_ratio,minutes,goals,assists,yellow_cards,shots_total,shots_on_target,starts_rate,goals_per_90,assists_per_90,goal_assist_per_90,shots_per_90,has_performance_stats,season,market_value_category,_source_row_id,_oversampling_status,_is_oversampled_duplicate
29.0,2.0,1,1.86,right,Attack,0,0,0,1,La Liga,2,711.15,3.0,0.2885572139303483,1.595833828747888,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1041.0,3.0,3.0,7.0,25.0,10.0,0.8666666666666667,0.2593659942363112,0.2593659942363112,0.5187319884726225,2.161383285302594,1,2017,Tinggi,396,Original,False
30.0,3.0,0,1.78,left,Attack,0,0,0,1,Ligue 1,5,900.1,1.0,0.0692771084337349,2.990396569791784,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2111.0,11.0,6.0,1.0,98.0,39.0,0.8666666666666667,0.4689720511605874,0.255802936996684,0.7247749881572715,4.178114637612506,1,2017,Tinggi,416,Original,False
31.0,4.0,0,1.78,left,Attack,0,0,0,1,Ligue 1,5,1010.0,1.0,0.0625,3.2666829781199924,40.0,0.0,1,1,0.0,3.713572066704308,Tinggi,No History,0.0396039603960396,2324.0,12.0,11.0,2.0,98.0,35.0,0.9333333333333332,0.4647160068846815,0.4259896729776248,0.8907056798623063,3.7951807228915664,1,2018,Tinggi,417,Original,False
28.0,1.0,1,1.77,right,Midfield,0,0,1,0,Bundesliga,3,336.25,5.0,0.3931818181818182,0.9780274030123376,27.0,0.0,1,1,0.0,3.332204510175204,Menengah,No History,0.0802973977695167,2396.0,17.0,4.0,2.0,111.0,45.0,0.9333333333333332,0.6385642737896494,0.1502504173622704,0.7888146911519198,4.1694490818030046,1,2018,Tinggi,460,Original,False
31.0,4.0,0,1.84,right,Attack,0,0,0,1,Ligue 1,5,900.1,1.0,0.0692771084337349,2.990396569791784,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2581.0,28.0,6.0,3.0,106.0,57.0,0.9375,0.976365749709415,0.2092212320805889,1.185586981790004,3.696241766757071,1,2017,Tinggi,488,Original,False
32.0,5.0,0,1.84,right,Attack,0,0,0,1,Ligue 1,5,1010.0,1.0,0.0625,3.2666829781199924,60.0,0.0,1,1,0.0,4.110873864173311,Tinggi,No History,0.0594059405940594,1671.0,18.0,5.0,1.0,52.0,24.0,0.9523809523809524,0.9694793536804308,0.2692998204667863,1.2387791741472172,2.8007181328545783,1,2018,Tinggi,489,Original,False
28.0,1.0,1,1.75,right,Midfield,0,0,1,0,Premier League,1,1170.0,2.0,0.122077922077922,2.1399797095052966,30.0,0.0,1,1,0.0,3.4339872044851463,Menengah,No History,0.0256410256410256,2725.0,3.0,0.0,3.0,30.0,10.0,0.9142857142857144,0.0990825688073394,0.0,0.0990825688073394,0.9908256880733944,1,2018,Tinggi,507,Original,False
29.0,2.0,1,1.75,right,Midfield,0,0,1,0,Premier League,1,1000.0,2.0,0.0935672514619883,2.086271728108284,50.0,30.0,1,2,0.6666666666666666,3.9318256327243257,Tinggi,Menengah,0.05,2935.0,4.0,0.0,0.0,36.0,15.0,0.945945945945946,0.1226575809199318,0.0,0.1226575809199318,1.103918228279387,1,2019,Tinggi,508,Original,False
27.0,0.0,1,1.78,right,Midfield,0,0,1,0,Premier League,1,694.0,6.0,0.3469387755102041,1.496014704109707,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1846.0,7.0,8.0,0.0,56.0,25.0,0.875,0.3412784398699891,0.390032502708559,0.7313109425785481,2.730227518959913,1,2017,Tinggi,514,Original,False
28.0,1.0,1,1.78,right,Midfield,0,0,1,0,Premier League,1,659.05,5.0,0.335064935064935,1.205430450896979,45.0,0.0,1,1,0.0,3.828641396489095,Tinggi,No History,0.0682801001441468,1331.0,4.0,6.0,0.0,33.0,14.0,0.5,0.270473328324568,0.4057099924868519,0.67618332081142,2.2314049586776856,1,2018,Tinggi,515,Original,False
27.0,0.0,1,1.75,right,Attack,0,0,0,1,Premier League,1,884.25,2.0,0.0947521865889212,1.9061253632694648,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2422.0,12.0,4.0,2.0,71.0,37.0,0.8235294117647058,0.4459124690338563,0.1486374896779521,0.5945499587118084,2.6383154417836496,1,2017,Tinggi,526,Original,False
28.0,1.0,1,1.75,right,Attack,0,0,0,1,Premier League,1,1170.0,2.0,0.122077922077922,2.1399797095052966,110.0,0.0,1,1,0.0,4.709530201312334,Tinggi,No History,0.094017094017094,2923.0,16.0,15.0,2.0,93.0,43.0,0.8648648648648649,0.4926445432774547,0.4618542593226138,0.9544988026000684,2.8634964078002056,1,2018,Tinggi,527,Original,False
